,School_ID,State,Year,Subject,isbn,title,authors,published,rating,score,description
0,8,VIC,0,ENGLISH,9781741250879,Victorian Targeting Handwriting,"['Tricia Dearborn', 'Jo Ryan', 'Stephen Michael King']",2004,0.0,0.0,"Targeting Handwriting Victoria Year 6 Student Book focuses on develop ing students' own styles, while emphasising fluency and legibility. The book includes: 'Mature' real-world applications, e. g. developing a signature and tips for note taking teaching pag es with two sets of copying lines, for reinforcement and extra practice a section on calligraphy The Targeting Handwritin g Years 3-6 Student Books have been designed to make learning cursive ha ndwriting as easy as possible for students. New skills are introduced se quentially, so that students build on skills one by one and aren't calle d on to use skills that haven't been introduced yet. Wherever pos sible, students copy words underneath models, so that left-handers aren' t disadvantaged, and practice of numerals and punctuation is integrated into the writing activities. The books also encourage and support studen t self-assessment."
1,9,NSW,0,ENGLISH,9780648237327,Kluwell My Home Reading Yellow Level,"['Stan Kluzek', 'Andrew Coldwell']",2019-07,0.0,0.0,Suitable for lower primary students.
2,15,NSW,0,ENGLISH,9781742990682,Wilfrid Gordon McDonald Partridge,"['Mem Fox', 'Julie Vivas']",1987,58.0,4.5,The elderly Miss Nancy is helped by Wilfrid to replace her lost memories with new ones.
3,15,NSW,0,ENGLISH,9781741351750,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,0.0,0.0,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
4,15,NSW,0,ENGLISH,9781742152196,Targeting Maths,"['Gloria Harris', 'Katy Pike']",2013,0.0,0.0,
5,15,NSW,0,ENGLISH,9780310709626,Beginners Bible,"['Karyn Henley', 'Zonderkidz']",2001-09-27,8.0,4.5,
6,15,NSW,0,ENGLISH,9780648237327,Kluwell My Home Reading Yellow Level,"['Stan Kluzek', 'Andrew Coldwell']",2019-07,0.0,0.0,Suitable for lower primary students.
7,15,NSW,0,ENGLISH,9781876424022,THRASS,,2011,0.0,0.0,
8,35,NSW,0,ENGLISH,9781740202954,Targeting Handwriting,['Jane Pinsker'],2001,0.0,0.0,"The Targeting Handwriting NSW Year 4 Student Book focuses on consolid ation of joining skills, plus: teaching of trickier joins l ike joining to s, horizontal joins to e, joined double f and joined ft students begin to assess their own letter size and spacing, spac ing between words, and slope Handwriting is one of the mos t crucial skills students will develop in primary school. Targeting Hand writing covers the handwriting curriculum in a clear and structured way, with content directly linked to NSW syllabus outcomes. Writing is a vit al, compelling form of communication. Children need to write every day, for a variety of purposes and for a variety of audiences. To be competen t writers, their handwriting needs to be fluent and legible. The teachin g of handwriting is an essential part of the writing curriculum."
9,36,QLD,0,ENGLISH,9781925487350,Alphabet Sounds and Writing Scrapbook,,2017-06-01,0.0,0.0,Beginners alphabet and writing book
10,36,QLD,0,ENGLISH,9781741352795,Writing Time: Queensland beginner's alphabet,['Mary Serenc'],2013,0.0,0.0,
11,36,QLD,0,ENGLISH,9781922246165,ORIGO Stepping Stones Student Journal Year F,['ORIGO Education'],2014-01-01,0.0,0.0,
12,37,NT,0,MUSIC,9780987411457,,,,,,
13,37,NT,0,ENGLISH,9781741353006,Victorian Targeting Handwriting,"['Tricia Dearborn', 'Jo Ryan', 'Stephen Michael King']",2004,0.0,0.0,"Targeting Handwriting Victoria Year 6 Student Book focuses on develop ing students' own styles, while emphasising fluency and legibility. The book includes: 'Mature' real-world applications, e. g. developing a signature and tips for note taking teaching pag es with two sets of copying lines, for reinforcement and extra practice a section on calligraphy The Targeting Handwritin g Years 3-6 Student Books have been designed to make learning cursive ha ndwriting as easy as possible for students. New skills are introduced se quentially, so that students build on skills one by one and aren't calle d on to use skills that haven't been introduced yet. Wherever pos sible, students copy words underneath models, so that left-handers aren' t disadvantaged, and practice of numerals and punctuation is integrated into the writing activities. The books also encourage and support studen t self-assessment."
14,37,NT,0,ENGLISH,9780760935880,Strategies to Achieve Reading Success,['Curriculum Associates Staff'],2005-01-01,0.0,0.0,
